tchStrt,tchEnd,duration,dist2prev,xMean,yMean,MMean,xMax,yMax,MMax,xMin,yMin,MMin,relocationX,relocationY,distanceX,distanceY,distance,averagespeedx,averagespeedy,averagespeed,averageAccelerationX,averageAccelerationY,averageAcceleration,avrAngVX,avrAngVY,averageAngularAccelerationx,averageAngularAccelerationY,dist2start,wj1,wj2,angleM,STKW,Emotion,Valence,Arousal
40426.55791,40426.93181,0.373893,0.25559,1209.4375,1737.21875,52,1419,1903,52,621,1318,1318,798,585,798,585,989.4589431,2134.300455,1564.618755,2683.661684,540.2615187,379.7878002,2683.661684,19332.29456,19344.75728,798.2089354,782.2253613,78.592487,0.845797231,0.729859025,159.2529409,3,2,-0.10811,-0.10811
40427.06658,40427.57472,0.508142,0.134777,1273.906977,1588.534884,32,1448,1749,32,712,1102,1102,736,647,725,550,979.9515294,1470.061518,1464.157657,2145.579769,381.7830449,421.1421217,2145.579769,19410.98599,19419.38691,698.5721078,731.9609804,79.101157,0.824732457,0.759008307,1.087338066,4,2,-0.099744,-0.099744
40428.10849,40428.36103,0.25254,0.533761,1124.454545,1604.818182,47,1332,1782,47,586,1256,1256,746,526,742,526,912.7935144,2969.826562,2082.838362,3693.348325,966.1835749,522.6894749,3693.348325,19394.86771,19411.70261,1037.010969,1040.967021,80.14306,0.774560376,0.834876821,154.0509093,3,3,-0.028592,-0.028592
40429.25937,40429.42742,0.168049,0.898349,976.3333333,1730.533333,41.8,1318,2031,42,626,1459,1459,692,572,692,572,897.8017599,4117.84658,3403.769139,5377.99157,928.3006742,803.3371219,5377.99157,19325.93847,19349.39913,1713.28586,1701.384834,81.293949,0.716112237,0.681098123,1.044716915,3,1,0.065965,0.065965
40435.51153,40435.90964,0.39811,6.084107,1427.205882,1287.029412,46,1508,1413,46,873,650,650,635,763,628,763,992.6701366,1612.619628,1916.555726,2570.235336,550.0992188,489.8143729,2570.235336,19564.71576,19574.33473,891.4529577,958.0175894,87.546105,0.927932242,1,140.1720336,0,3,-0.0062575,-0.0062575
40436.22655,40436.63595,0.409397,0.31691,1167.485714,1188.342857,46,1340,1336,46,552,718,718,788,618,776,618,1001.432973,1954.093459,1509.537197,2486.356688,532.4904677,395.7039255,2486.356688,19613.00147,19624.03832,759.5372841,754.6498264,88.261125,0.872393473,0.325457944,1.148014884,1,3,-0.036711,-0.036711
40437.23151,40437.65337,0.421859,0.595559,1201.694444,1444.194444,38,1381,1593,38,512,945,945,869,648,866,648,1084.004151,2067.041357,1536.058256,2597.444388,521.5012599,348.45766,2597.444388,19484.51312,19496.61821,760.7335496,767.8452101,89.266081,0.879389526,0.422049319,149.8020516,2,2,-0.08681,-0.08681
40440.30827,40440.3915,0.083228,2.654904,735.5,1822.625,42,938,2008,42,615,1714,1714,323,294,323,294,436.766528,3880.905465,3532.465036,5251.229501,1249.579469,1093.382035,5251.229501,19286.61256,19308.85662,2066.112198,1765.732103,92.342844,0.360544884,0.358456117,179.3451978,1,2,-0.21064,-0.21064
40440.84154,40440.97352,0.131987,0.450038,1022.083333,1757.5,44.83333333,1367,2034,47,614,1479,1479,753,555,753,555,935.4325203,5705.107321,4204.959579,7138.937948,1219.817103,1091.01654,7138.937948,19309.34956,19341.69772,2052.828093,2101.982294,92.87611,0.611198235,0.618113776,170.7976216,1,2,-0.17395,-0.17395
40441.96815,40442.05166,0.083508,0.994628,662.75,1837.75,38,905,2015,38,524,1742,1742,381,273,381,273,468.7109984,4562.437132,3269.147866,5624.073753,1532.787278,1197.490061,5624.073753,19276.19255,19302.12407,2041.220554,1634.219434,94.002725,0.123824623,0.379397307,174.9786464,2,2,-0.10198,-0.10198
